eval,fitness,chem,dyn
1,0.453721,0.259259,0.745412
2,0.668246,0.448276,0.998202
3,0.996791,1.000000,0.991978
4,0.998752,1.000000,0.996881
5,0.998890,1.000000,0.997226
6,0.555433,0.259259,0.999694
7,0.999108,1.000000,0.997770
8,0.998701,1.000000,0.996752
9,0.997266,1.000000,0.993166
10,0.555461,0.259259,0.999763
11,0.921720,1.000000,0.804301
12,0.906028,1.000000,0.765071
13,0.999712,1.000000,0.999281
14,0.913159,1.000000,0.782897
15,0.997146,1.000000,0.992866
16,0.994145,1.000000,0.985363
17,0.910482,1.000000,0.776205
18,0.997645,1.000000,0.994112
19,0.706127,0.520000,0.985318
20,0.992562,1.000000,0.981405
21,0.975882,1.000000,0.939704
22,0.885613,1.000000,0.714033
23,0.999936,1.000000,0.999841
24,0.895609,1.000000,0.739023
25,0.999616,1.000000,0.999041
26,0.964068,1.000000,0.910169
27,0.995399,1.000000,0.988497
28,0.998481,1.000000,0.996203
29,0.989305,1.000000,0.973263
30,0.999840,1.000000,0.999600
31,0.999833,1.000000,0.999584
32,0.998923,1.000000,0.997306
33,0.929162,1.000000,0.822905
34,0.911579,1.000000,0.778948
35,0.999062,1.000000,0.997656
36,0.987678,1.000000,0.969196
37,0.680764,0.520000,0.921911
38,0.999423,1.000000,0.998557
39,0.652952,0.520000,0.852380
40,0.999869,1.000000,0.999673
41,0.996863,1.000000,0.992158
42,0.996346,1.000000,0.990866
43,0.903216,1.000000,0.758039
44,0.994242,1.000000,0.985606
45,0.999265,1.000000,0.998163
46,0.711629,0.520000,0.999071
47,0.997869,1.000000,0.994672
48,0.998772,1.000000,0.996930
49,0.894720,1.000000,0.736799
50,0.998976,1.000000,0.997439
51,0.991422,1.000000,0.978556
52,0.640536,0.520000,0.821340
53,0.553763,0.259259,0.995518
54,0.997894,1.000000,0.994735
55,0.906256,1.000000,0.765640
56,0.938112,1.000000,0.845280
57,0.842172,1.000000,0.605431
58,0.922409,1.000000,0.806022
59,0.684258,0.520000,0.930645
60,0.994094,1.000000,0.985236
61,0.989991,1.000000,0.974978
62,0.902189,1.000000,0.755473
63,0.995504,1.000000,0.988759
64,0.995629,1.000000,0.989072
65,0.987408,1.000000,0.968519
66,0.906800,1.000000,0.767000
67,0.946467,1.000000,0.866167
68,0.989157,1.000000,0.972892
69,0.692690,0.520000,0.951726
70,0.998196,1.000000,0.995491
71,0.999663,1.000000,0.999158
72,0.928837,1.000000,0.822092
73,0.909834,1.000000,0.774586
74,0.998692,1.000000,0.996729
75,0.996574,1.000000,0.991434
76,0.999859,1.000000,0.999647
77,0.902896,1.000000,0.757241
78,0.999404,1.000000,0.998511
79,0.999712,1.000000,0.999281
80,0.997492,1.000000,0.993730
81,0.668997,0.464286,0.976064
82,0.998347,1.000000,0.995867
83,0.991530,1.000000,0.978825
84,0.997489,1.000000,0.993722
85,0.902676,1.000000,0.756690
86,0.973024,1.000000,0.932560
87,0.998301,1.000000,0.995752
88,0.709251,0.520000,0.993128
89,0.989135,1.000000,0.972837
90,0.901346,1.000000,0.753365
91,0.909286,1.000000,0.773216
92,0.999601,1.000000,0.999002
93,0.988356,1.000000,0.970890
94,0.483783,0.259259,0.820570
95,0.891854,1.000000,0.729636
96,0.555023,0.259259,0.998668
97,0.555422,0.259259,0.999666
98,0.999069,1.000000,0.997672
99,0.995611,1.000000,0.989027
100,0.991018,1.000000,0.977544
101,0.910077,1.000000,0.775193
102,0.551264,0.259259,0.989270
103,0.999164,1.000000,0.997909
104,0.994629,1.000000,0.986573
105,0.910498,1.000000,0.776246
106,0.999689,1.000000,0.999222
107,0.993274,1.000000,0.983185
108,0.711805,0.520000,0.999512
109,0.608516,0.520000,0.741289
110,0.538314,0.259259,0.956897
111,0.614426,0.520000,0.756065
112,0.992754,1.000000,0.981886
113,0.985908,1.000000,0.964770
114,0.999504,1.000000,0.998760
115,0.999256,1.000000,0.998141
116,0.950965,1.000000,0.877413
117,0.549610,0.259259,0.985136
118,0.664161,0.448276,0.987988
119,0.999572,1.000000,0.998930
120,0.548790,0.259259,0.983087
121,0.996028,1.000000,0.990071
122,0.555143,0.259259,0.998968
123,0.553572,0.259259,0.995042
124,0.554981,0.259259,0.998565
125,0.997884,1.000000,0.994709
126,0.870829,1.000000,0.677073
127,0.678014,0.520000,0.915034
128,0.554882,0.259259,0.998317
129,0.993938,1.000000,0.984845
130,0.999329,1.000000,0.998323
131,0.997917,1.000000,0.994792
132,0.998069,1.000000,0.995173
133,0.997958,1.000000,0.994896
134,0.643250,0.520000,0.828126
135,0.999424,1.000000,0.998561
136,0.999453,1.000000,0.998634
137,0.959771,1.000000,0.899429
138,0.973716,1.000000,0.934290
139,0.999112,1.000000,0.997780
140,0.910941,1.000000,0.777353
141,0.552905,0.259259,0.993373
142,0.995355,1.000000,0.988387
143,0.909676,1.000000,0.774190
144,0.996782,1.000000,0.991954
145,0.999251,1.000000,0.998128
146,0.998101,1.000000,0.995252
147,0.999253,1.000000,0.998134
148,0.995326,1.000000,0.988315
149,0.850364,1.000000,0.625911
150,0.554814,0.259259,0.998145
151,0.985324,1.000000,0.963310
152,0.996968,1.000000,0.992421
153,0.906063,1.000000,0.765158
154,0.993266,1.000000,0.983165
155,0.999861,1.000000,0.999653
156,0.901941,1.000000,0.754853
157,0.902928,1.000000,0.757320
158,0.998788,1.000000,0.996970
159,0.554986,0.259259,0.998576
160,0.993930,1.000000,0.984824
161,0.711484,0.520000,0.998709
162,0.624166,0.520000,0.780414
163,0.999503,1.000000,0.998758
164,0.462486,0.259259,0.767326
165,0.956344,1.000000,0.890860
166,0.711786,0.520000,0.999464
167,0.908762,1.000000,0.771904
168,0.998843,1.000000,0.997107
169,0.994136,1.000000,0.985340
170,0.555315,0.259259,0.999399
171,0.999606,1.000000,0.999014
172,0.440377,0.259259,0.712053
173,0.990136,1.000000,0.975339
174,0.999778,1.000000,0.999444
175,0.988864,1.000000,0.972159
176,0.998609,1.000000,0.996523
177,0.473610,0.259259,0.795135
178,0.999427,1.000000,0.998568
179,0.978179,1.000000,0.945447
180,0.857744,1.000000,0.644359
181,0.711542,0.520000,0.998855
182,0.998944,1.000000,0.997359
183,0.554193,0.259259,0.996593
184,0.999142,1.000000,0.997854
185,0.996731,1.000000,0.991829
186,0.999501,1.000000,0.998753
187,0.999599,1.000000,0.998997
188,0.638934,0.520000,0.817335
189,0.901589,1.000000,0.753973
190,0.997417,1.000000,0.993543
191,0.906676,1.000000,0.766690
192,0.541172,0.259259,0.964041
193,0.550433,0.259259,0.987193
194,0.993129,1.000000,0.982823
195,0.992845,1.000000,0.982113
196,0.701844,0.520000,0.974611
197,0.999775,1.000000,0.999439
198,0.891054,1.000000,0.727634
199,0.998046,1.000000,0.995115
200,0.907614,1.000000,0.769036
201,0.551669,0.259259,0.990284
202,0.755367,1.000000,0.388417
203,0.555237,0.259259,0.999204
204,0.997297,1.000000,0.993243
205,0.898630,1.000000,0.746575
206,0.667742,0.448276,0.996940
207,0.586160,0.464286,0.768971
208,0.996473,1.000000,0.991184
209,0.999488,1.000000,0.998721
210,0.676537,0.520000,0.911342
211,0.999501,1.000000,0.998752
212,0.710596,0.520000,0.996491
213,0.890985,1.000000,0.727463
214,0.999743,1.000000,0.999358
215,0.997324,1.000000,0.993311
216,0.995087,1.000000,0.987717
217,0.999923,1.000000,0.999808
218,0.995921,1.000000,0.989804
219,0.555423,0.259259,0.999668
220,0.954187,1.000000,0.885467
221,0.555137,0.259259,0.998955
222,0.708591,0.520000,0.991478
223,0.995279,1.000000,0.988197
224,0.933628,1.000000,0.834071
225,0.995611,1.000000,0.989027
226,0.993377,1.000000,0.983443
227,0.998867,1.000000,0.997168
228,0.998614,1.000000,0.996534
229,0.924305,1.000000,0.810764
230,0.617828,0.520000,0.764570
231,0.911125,1.000000,0.777812
232,0.999356,1.000000,0.998391
233,0.999931,1.000000,0.999827
234,0.711621,0.520000,0.999052
235,0.999555,1.000000,0.998887
236,0.997891,1.000000,0.994727
237,0.898240,1.000000,0.745601
238,0.711514,0.520000,0.998786
239,0.999257,1.000000,0.998144
240,0.710230,0.520000,0.995576
241,0.554316,0.259259,0.996901
242,0.710755,0.520000,0.996887
243,0.999581,1.000000,0.998953
244,0.999642,1.000000,0.999105
245,0.528876,0.259259,0.933302
246,0.998535,1.000000,0.996337
247,0.990576,1.000000,0.976439
248,0.666337,0.448276,0.993428
249,0.993594,1.000000,0.983985
250,0.599223,0.520000,0.718058
251,0.936402,1.000000,0.841004
252,0.999556,1.000000,0.998891
253,0.862862,1.000000,0.657156
254,0.555231,0.259259,0.999189
255,0.998386,1.000000,0.995965
256,0.977257,1.000000,0.943142
257,0.998248,1.000000,0.995620
258,0.905783,1.000000,0.764458
259,0.999241,1.000000,0.998103
260,0.839279,1.000000,0.598198
261,0.905894,1.000000,0.764734
262,0.968302,1.000000,0.920755
263,0.903100,1.000000,0.757751
264,0.998417,1.000000,0.996044
265,0.991273,1.000000,0.978183
266,0.618770,0.520000,0.766926
267,0.998905,1.000000,0.997263
268,0.974300,1.000000,0.935749
269,0.999098,1.000000,0.997746
270,0.554336,0.259259,0.996952
271,0.999761,1.000000,0.999402
272,0.984784,1.000000,0.961961
273,0.999209,1.000000,0.998024
274,0.909492,1.000000,0.773731
275,0.633374,0.520000,0.803435
276,0.998296,1.000000,0.995739
277,0.999777,1.000000,0.999442
278,0.995451,1.000000,0.988627
279,0.554906,0.259259,0.998377
280,0.623211,0.520000,0.778027
281,0.956022,1.000000,0.890055
282,0.997126,1.000000,0.992815
283,0.996830,1.000000,0.992074
284,0.998499,1.000000,0.996246
285,0.999671,1.000000,0.999177
286,0.992212,1.000000,0.980531
287,0.999950,1.000000,0.999876
288,0.907419,1.000000,0.768547
289,0.708313,0.520000,0.990783
290,0.986561,1.000000,0.966403
291,0.711908,0.520000,0.999769
292,0.678460,0.464286,0.999721
293,0.999564,1.000000,0.998909
294,0.711836,0.520000,0.999589
295,0.999799,1.000000,0.999498
296,0.999844,1.000000,0.999609
297,0.988390,1.000000,0.970974
298,0.998293,1.000000,0.995732
299,0.995070,1.000000,0.987674
300,0.666126,0.520000,0.885316
301,0.555389,0.259259,0.999585
302,0.990511,1.000000,0.976278
303,0.711337,0.520000,0.998342
304,0.998834,1.000000,0.997085
305,0.889516,1.000000,0.723791
