eval,fitness,chem,dyn
1,0.594017,0.448276,0.812629
2,0.711420,0.520000,0.998551
3,0.552642,0.259259,0.992716
4,0.711364,0.520000,0.998410
5,0.543730,0.259259,0.970437
6,0.999568,1.000000,0.998921
7,0.734923,0.680000,0.817307
8,0.806327,0.680000,0.995817
9,0.555497,0.259259,0.999853
10,0.709698,0.520000,0.994245
11,0.553940,0.259259,0.995960
12,0.678403,0.464286,0.999578
13,0.367524,0.259259,0.529920
14,0.555322,0.259259,0.999415
15,0.711855,0.520000,0.999638
16,0.552720,0.259259,0.992911
17,0.677731,0.464286,0.997898
18,0.998858,1.000000,0.997145
19,0.775110,0.629630,0.993330
20,0.417377,0.259259,0.654553
21,0.728412,0.680000,0.801029
22,0.711952,0.520000,0.999879
23,0.468718,0.259259,0.782906
24,0.999887,1.000000,0.999716
25,0.996545,1.000000,0.991362
26,0.494805,0.259259,0.848124
27,0.711947,0.520000,0.999867
28,0.553750,0.259259,0.995485
29,0.538403,0.259259,0.957118
30,0.554815,0.259259,0.998149
31,0.802232,0.680000,0.985581
32,0.710083,0.520000,0.995208
33,0.535353,0.259259,0.949494
34,0.497339,0.259259,0.854459
35,0.553244,0.259259,0.994222
36,0.644589,0.520000,0.831474
37,0.711924,0.520000,0.999810
38,0.673040,0.464286,0.986173
39,0.707892,0.520000,0.989730
40,0.440908,0.259259,0.713381
41,0.551501,0.259259,0.989863
42,0.998106,1.000000,0.995266
43,0.480726,0.259259,0.812927
44,0.999269,1.000000,0.998173
45,0.538144,0.259259,0.956470
46,0.776952,0.629630,0.997936
47,0.639336,0.520000,0.818341
48,0.732606,0.680000,0.811514
49,0.554581,0.259259,0.997565
50,0.699462,0.629630,0.804210
51,0.758553,0.629630,0.951937
52,0.998916,1.000000,0.997289
53,0.774959,0.629630,0.992954
54,0.551243,0.259259,0.989219
55,0.555196,0.259259,0.999100
56,0.707605,0.680000,0.749012
57,0.776528,0.629630,0.996875
58,0.774708,0.629630,0.992326
59,0.555334,0.259259,0.999446
60,0.999745,1.000000,0.999362
61,0.967552,1.000000,0.918880
62,0.551645,0.259259,0.990223
63,0.466705,0.259259,0.777874
64,0.554628,0.259259,0.997682
65,0.555351,0.259259,0.999487
66,0.549785,0.259259,0.985574
67,0.492776,0.259259,0.843050
68,0.531676,0.259259,0.940301
69,0.555254,0.259259,0.999246
70,0.777513,0.629630,0.999338
71,0.555367,0.259259,0.999528
72,0.767617,0.629630,0.974597
73,0.711401,0.520000,0.998503
74,0.997867,1.000000,0.994669
75,0.548263,0.259259,0.981768
76,0.771566,0.629630,0.984469
77,0.711366,0.520000,0.998415
78,0.549807,0.259259,0.985629
79,0.711316,0.520000,0.998289
80,0.492919,0.259259,0.843410
81,0.677771,0.464286,0.997999
82,0.532887,0.464286,0.635789
83,0.838075,0.733333,0.995187
84,0.464978,0.259259,0.773557
85,0.777666,0.629630,0.999720
86,0.996428,1.000000,0.991069
87,0.513518,0.259259,0.894906
88,0.710068,0.629630,0.830724
89,0.633582,0.520000,0.803955
90,0.668597,0.448276,0.999079
91,0.989817,1.000000,0.974542
92,0.999604,1.000000,0.999011
93,0.432205,0.259259,0.691624
94,0.807697,0.680000,0.999244
95,0.554208,0.259259,0.996632
96,0.716703,0.680000,0.771757
97,0.692077,0.520000,0.950192
98,0.553408,0.259259,0.994632
99,0.674348,0.464286,0.989441
100,0.706424,0.520000,0.986059
101,0.539239,0.259259,0.959208
102,0.711338,0.520000,0.998346
103,0.554663,0.259259,0.997769
104,0.711197,0.520000,0.997993
105,0.648409,0.520000,0.841022
106,0.804394,0.680000,0.990985
107,0.592542,0.520000,0.701354
108,0.711864,0.520000,0.999661
109,0.555320,0.259259,0.999412
110,0.552509,0.259259,0.992384
111,0.902036,1.000000,0.755091
112,0.541347,0.259259,0.964478
113,0.776167,0.629630,0.995973
114,0.478690,0.259259,0.807835
115,0.711296,0.520000,0.998239
116,0.760539,0.629630,0.956902
117,0.594333,0.520000,0.705831
118,0.451934,0.259259,0.740946
119,0.555272,0.259259,0.999292
120,0.991477,1.000000,0.978693
121,0.805926,0.680000,0.994816
122,0.999191,1.000000,0.997978
123,0.466769,0.259259,0.778033
124,0.999887,1.000000,0.999718
125,0.497326,0.259259,0.854426
126,0.888651,1.000000,0.721628
127,0.548632,0.259259,0.982691
128,0.551128,0.259259,0.988930
129,0.918520,1.000000,0.796299
130,0.555423,0.259259,0.999669
131,0.554916,0.259259,0.998401
132,0.555097,0.259259,0.998853
133,0.711929,0.520000,0.999822
134,0.709363,0.520000,0.993407
135,0.703847,0.629630,0.815173
136,0.710865,0.520000,0.997162
137,0.554140,0.259259,0.996462
138,0.555403,0.259259,0.999619
139,0.711499,0.520000,0.998747
140,0.711872,0.520000,0.999680
141,0.492256,0.259259,0.841751
142,0.890119,1.000000,0.725297
143,0.543846,0.259259,0.970725
144,0.999439,1.000000,0.998597
145,0.710817,0.520000,0.997042
146,0.999015,1.000000,0.997537
147,0.807508,0.680000,0.998770
148,0.488831,0.259259,0.833189
149,0.530407,0.259259,0.937129
150,0.550605,0.259259,0.987624
151,0.631245,0.520000,0.798112
152,0.554203,0.259259,0.996618
153,0.711401,0.520000,0.998504
154,0.525806,0.259259,0.925627
155,0.711735,0.520000,0.999338
156,0.623061,0.520000,0.777652
157,0.711757,0.520000,0.999394
158,0.923359,1.000000,0.808397
159,0.999417,1.000000,0.998543
160,0.777505,0.629630,0.999319
161,0.516617,0.259259,0.902653
162,0.990726,1.000000,0.976814
163,0.998838,1.000000,0.997095
164,0.554554,0.259259,0.997496
165,0.621339,0.520000,0.773348
166,0.706586,0.520000,0.986465
167,0.999941,1.000000,0.999853
168,0.551838,0.259259,0.990706
169,0.630180,0.520000,0.795450
170,0.554980,0.259259,0.998562
171,0.995489,1.000000,0.988723
172,0.701006,0.520000,0.972516
173,0.711099,0.520000,0.997747
174,0.554180,0.259259,0.996562
175,0.711200,0.520000,0.997999
176,0.911868,1.000000,0.779669
177,0.554537,0.259259,0.997453
178,0.998402,1.000000,0.996004
179,0.711158,0.520000,0.997894
180,0.999629,1.000000,0.999072
181,0.453908,0.259259,0.745881
182,0.726176,0.629630,0.870995
183,0.553833,0.259259,0.995695
184,0.776206,0.629630,0.996071
