delta,Re,termino_log_25_12,b_delta,t1_Re_menos1,t2_Re_menos2,G_star_exacto
0.1,100,9.59410455,-8.57734540,-1.73333333e-01,-1.80266667e-03,0.84162316
0.1,200,11.03816118,-8.57734540,-8.66666667e-02,-4.50666667e-04,2.37369845
0.1,500,12.94710021,-8.57734540,-3.46666667e-02,-7.21066667e-05,4.33501603
0.1,1000,14.39115683,-8.57734540,-1.73333333e-02,-1.80266667e-05,5.79646007
0.1,2000,15.83521346,-8.57734540,-8.66666667e-03,-4.50666667e-06,7.24919689
0.25,100,9.59410455,-6.27371887,-1.73333333e-01,-1.80266667e-03,3.14524968
0.25,200,11.03816118,-6.27371887,-8.66666667e-02,-4.50666667e-04,4.67732497
0.25,500,12.94710021,-6.27371887,-3.46666667e-02,-7.21066667e-05,6.63864256
0.25,1000,14.39115683,-6.27371887,-1.73333333e-02,-1.80266667e-05,8.10008660
0.25,2000,15.83521346,-6.27371887,-8.66666667e-03,-4.50666667e-06,9.55282341
0.5,100,9.59410455,-4.13434975,-1.73333333e-01,-1.80266667e-03,5.28461881
0.5,200,11.03816118,-4.13434975,-8.66666667e-02,-4.50666667e-04,6.81669410
0.5,500,12.94710021,-4.13434975,-3.46666667e-02,-7.21066667e-05,8.77801168
0.5,1000,14.39115683,-4.13434975,-1.73333333e-02,-1.80266667e-05,10.23945572
0.5,2000,15.83521346,-4.13434975,-8.66666667e-03,-4.50666667e-06,11.69219254
1.0,100,9.59410455,-1.15904312,-1.73333333e-01,-1.80266667e-03,8.25992543
1.0,200,11.03816118,-1.15904312,-8.66666667e-02,-4.50666667e-04,9.79200073
1.0,500,12.94710021,-1.15904312,-3.46666667e-02,-7.21066667e-05,11.75331831
1.0,1000,14.39115683,-1.15904312,-1.73333333e-02,-1.80266667e-05,13.21476235
1.0,2000,15.83521346,-1.15904312,-8.66666667e-03,-4.50666667e-06,14.66749916
