delta,Re,s2_medio,q_efectivo_crudo,mu_efectivo_crudo,q_corregido,mu_corregido
0.1,100,3.064035,1.750438,0.083772,1.666666,-0.000001
0.1,200,2.987431,1.728419,0.061752,1.666667,0.000001
0.1,500,2.925548,1.710423,0.043757,1.666667,0.000000
0.1,1000,2.895879,1.701728,0.035062,1.666667,-0.000000
0.1,2000,2.874963,1.695572,0.028905,1.666667,0.000000
0.25,100,3.269880,1.808281,0.141614,1.666667,0.000000
0.25,200,3.156598,1.776682,0.110015,1.666667,0.000000
0.25,500,3.060724,1.749493,0.082826,1.666667,0.000000
0.25,1000,3.012543,1.735668,0.069001,1.666667,0.000000
0.25,2000,2.977143,1.725440,0.058773,1.666667,0.000000
