# modelo=pao_beta2.25_mu0.033
# epsilon=1.0
# C_k=1.5
# beta=2.25
# nu=0.0005
# eta=3.343701524882e-03
# Re_nominal=2000
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000000000000e+00,1.498313448862893e+00,3.343701524882110e-03
1.003461582929995e+00,1.489531342665733e+00,3.355276025003640e-03
1.006935148416371e+00,1.480800675742852e+00,3.366890591217213e-03
1.010420737937741e+00,1.472121146845184e+00,3.378545362214932e-03
1.013918393116299e+00,1.463492456487840e+00,3.390240477168988e-03
1.017428155718318e+00,1.454914306939780e+00,3.401976075733334e-03
1.020950067654649e+00,1.446386402213543e+00,3.413752298045344e-03
1.024484170981219e+00,1.437908448055032e+00,3.425569284727488e-03
1.028030507899538e+00,1.429480151933367e+00,3.437427176889015e-03
1.031589120757197e+00,1.421101223030794e+00,3.449326116127635e-03
1.035160052048379e+00,1.412771372232648e+00,3.461266244531208e-03
1.038743344414362e+00,1.404490312117385e+00,3.473247704679445e-03
1.042339040644032e+00,1.396257756946664e+00,3.485270639645606e-03
1.045947183674393e+00,1.388073422655487e+00,3.497335192998216e-03
1.049567816591076e+00,1.379937026842407e+00,3.509441508802769e-03
1.053200982628860e+00,1.371848288759779e+00,3.521589731623457e-03
1.056846725172182e+00,1.363806929304079e+00,3.533780006524889e-03
1.060505087755659e+00,1.355812671006273e+00,3.546012479073833e-03
1.064176114064607e+00,1.347865238022249e+00,3.558287295340944e-03
1.067859847935561e+00,1.339964356123295e+00,3.570604601902514e-03
1.071556333356802e+00,1.332109752686646e+00,3.582964545842220e-03
1.075265614468877e+00,1.324301156686075e+00,3.595367274752885e-03
1.078987735565133e+00,1.316538298682545e+00,3.607812936738231e-03
1.082722741092240e+00,1.308820910814911e+00,3.620301680414659e-03
1.086470675650722e+00,1.301148726790686e+00,3.632833654913014e-03
1.090231583995494e+00,1.293521481876848e+00,3.645409009880372e-03
1.094005511036394e+00,1.285938912890710e+00,3.658027895481824e-03
1.097792501838718e+00,1.278400758190844e+00,3.670690462402269e-03
1.101592601623760e+00,1.270906757668050e+00,3.683396861848216e-03
1.105405855769349e+00,1.263456652736386e+00,3.696147245549586e-03
1.109232309810396e+00,1.256050186324246e+00,3.708941765761528e-03
1.113072009439435e+00,1.248687102865495e+00,3.721780575266234e-03
1.116925000507166e+00,1.241367148290649e+00,3.734663827374761e-03
1.120791329023006e+00,1.234090070018111e+00,3.747591675928871e-03
1.124671041155638e+00,1.226855616945461e+00,3.760564275302857e-03
1.128564183233562e+00,1.219663539440786e+00,3.773581780405395e-03
1.132470801745647e+00,1.212513589334080e+00,3.786644346681385e-03
1.136390943341687e+00,1.205405519908672e+00,3.799752130113819e-03
1.140324654832960e+00,1.198339085892721e+00,3.812905287225633e-03
1.144271983192782e+00,1.191314043450751e+00,3.826103975081581e-03
1.148232975557073e+00,1.184330150175246e+00,3.839348351290109e-03
1.152207679224919e+00,1.177387165078280e+00,3.852638574005238e-03
1.156196141659133e+00,1.170484848583207e+00,3.865974801928454e-03
1.160198410486826e+00,1.163622962516397e+00,3.879357194310600e-03
1.164214533499974e+00,1.156801270099018e+00,3.892785910953778e-03
1.168244558655990e+00,1.150019535938870e+00,3.906261112213261e-03
1.172288534078293e+00,1.143277526022261e+00,3.919782958999401e-03
1.176346508056887e+00,1.136575007705939e+00,3.933351612779558e-03
1.180418529048936e+00,1.129911749709063e+00,3.946967235580024e-03
1.184504645679341e+00,1.123287522105225e+00,3.960629989987956e-03
1.188604906741324e+00,1.116702096314520e+00,3.974340039153324e-03
1.192719361197008e+00,1.110155245095658e+00,3.988097546790853e-03
1.196848058178002e+00,1.103646742538125e+00,4.001902677181979e-03
1.200991046985989e+00,1.097176364054394e+00,4.015755595176813e-03
1.205148377093312e+00,1.090743886372172e+00,4.029656466196108e-03
1.209320098143569e+00,1.084349087526701e+00,4.043605456233237e-03
1.213506259952203e+00,1.077991746853099e+00,4.057602731856167e-03
1.217706912507095e+00,1.071671644978749e+00,4.071648460209461e-03
1.221922105969167e+00,1.065388563815731e+00,4.085742809016262e-03
1.226151890672973e+00,1.059142286553299e+00,4.099885946580302e-03
