# modelo=pao_beta2.25_logper_amp0.02_w2
# epsilon=1.0
# C_k=1.5
# beta=2.25
# nu=0.005
# eta=1.880301546543e-02
# Re_nominal=200
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000000000000e+00,1.512883958255187e+00,1.880301546543197e-02
1.003461582929995e+00,1.504116933799631e+00,1.886810366279954e-02
1.006935148416371e+00,1.495398954160019e+00,1.893341716836006e-02
1.010420737937741e+00,1.486729753968726e+00,1.899895676203653e-02
1.013918393116299e+00,1.478109069306401e+00,1.906472322645171e-02
1.017428155718318e+00,1.469536637693192e+00,1.913071734693746e-02
1.020950067654649e+00,1.461012198080036e+00,1.919693991154418e-02
1.024484170981219e+00,1.452535490840022e+00,1.926339171105012e-02
1.028030507899538e+00,1.444106257759797e+00,1.933007353897090e-02
1.031589120757197e+00,1.435724242031050e+00,1.939698619156894e-02
1.035160052048379e+00,1.427389188242040e+00,1.946413046786303e-02
1.038743344414362e+00,1.419100842369195e+00,1.953150716963777e-02
1.042339040644032e+00,1.410858951768766e+00,1.959911710145326e-02
1.045947183674393e+00,1.402663265168535e+00,1.966696107065462e-02
1.049567816591076e+00,1.394513532659593e+00,1.973503988738167e-02
1.053200982628860e+00,1.386409505688158e+00,1.980335436457861e-02
1.056846725172182e+00,1.378350937047471e+00,1.987190531800367e-02
1.060505087755659e+00,1.370337580869731e+00,1.994069356623894e-02
1.064176114064607e+00,1.362369192618096e+00,2.000971993070010e-02
1.067859847935561e+00,1.354445529078739e+00,2.007898523564618e-02
1.071556333356802e+00,1.346566348352956e+00,2.014849030818952e-02
1.075265614468877e+00,1.338731409849336e+00,2.021823597830551e-02
1.078987735565133e+00,1.330940474275975e+00,2.028822307884262e-02
1.082722741092240e+00,1.323193303632756e+00,2.035845244553227e-02
1.086470675650722e+00,1.315489661203676e+00,2.042892491699884e-02
1.090231583995494e+00,1.307829311549229e+00,2.049964133476967e-02
1.094005511036394e+00,1.300212020498840e+00,2.057060254328513e-02
1.097792501838718e+00,1.292637555143355e+00,2.064180938990867e-02
1.101592601623760e+00,1.285105683827582e+00,2.071326272493699e-02
1.105405855769349e+00,1.277616176142885e+00,2.078496340161013e-02
1.109232309810396e+00,1.270168802919822e+00,2.085691227612171e-02
1.113072009439435e+00,1.262763336220850e+00,2.092911020762914e-02
1.116925000507166e+00,1.255399549333068e+00,2.100155805826385e-02
1.120791329023006e+00,1.248077216761008e+00,2.107425669314163e-02
1.124671041155638e+00,1.240796114219494e+00,2.114720698037294e-02
1.128564183233562e+00,1.233556018626527e+00,2.122040979107327e-02
1.132470801745647e+00,1.226356708096242e+00,2.129386599937354e-02
1.136390943341687e+00,1.219197961931894e+00,2.136757648243057e-02
1.140324654832960e+00,1.212079560618910e+00,2.144154212043751e-02
1.144271983192782e+00,1.205001285817975e+00,2.151576379663438e-02
1.148232975557073e+00,1.197962920358176e+00,2.159024239731862e-02
1.152207679224919e+00,1.190964248230187e+00,2.166497881185563e-02
1.156196141659133e+00,1.184005054579508e+00,2.173997393268945e-02
1.160198410486826e+00,1.177085125699740e+00,2.181522865535338e-02
1.164214533499974e+00,1.170204249025921e+00,2.189074387848068e-02
1.168244558655990e+00,1.163362213127894e+00,2.196652050381532e-02
1.172288534078293e+00,1.156558807703731e+00,2.204255943622271e-02
1.176346508056887e+00,1.149793823573196e+00,2.211886158370054e-02
1.180418529048936e+00,1.143067052671258e+00,2.219542785738960e-02
1.184504645679341e+00,1.136378288041643e+00,2.227225917158467e-02
1.188604906741324e+00,1.129727323830438e+00,2.234935644374545e-02
1.192719361197008e+00,1.123113955279732e+00,2.242672059450749e-02
1.196848058178002e+00,1.116537978721304e+00,2.250435254769320e-02
1.200991046985989e+00,1.109999191570352e+00,2.258225323032288e-02
1.205148377093312e+00,1.103497392319275e+00,2.266042357262579e-02
1.209320098143569e+00,1.097032380531478e+00,2.273886450805124e-02
1.213506259952203e+00,1.090603956835241e+00,2.281757697327978e-02
