# modelo=pao_beta2.25
# epsilon=1.0
# C_k=1.5
# beta=2.25
# nu=0.001
# eta=5.623413251903e-03
# Re_nominal=1000
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000000000000e+00,1.496628794028945e+00,5.623413251903491e-03
1.003461582929995e+00,1.488018508689580e+00,5.642879163224587e-03
1.006935148416371e+00,1.479457688364162e+00,5.662412457412029e-03
1.010420737937741e+00,1.470946048965421e+00,5.682013367717197e-03
1.013918393116299e+00,1.462483308037570e+00,5.701682128198890e-03
1.017428155718318e+00,1.454069184746926e+00,5.721418973726120e-03
1.020950067654649e+00,1.445703399872603e+00,5.741224139980919e-03
1.024484170981219e+00,1.437385675797246e+00,5.761097863461150e-03
1.028030507899538e+00,1.429115736497821e+00,5.781040381483338e-03
1.031589120757197e+00,1.420893307536464e+00,5.801051932185493e-03
1.035160052048379e+00,1.412718116051373e+00,5.821132754529960e-03
1.038743344414362e+00,1.404589890747759e+00,5.841283088306275e-03
1.042339040644032e+00,1.396508361888847e+00,5.861503174134023e-03
1.045947183674393e+00,1.388473261286927e+00,5.881793253465716e-03
1.049567816591076e+00,1.380484322294462e+00,5.902153568589672e-03
1.053200982628860e+00,1.372541279795237e+00,5.922584362632911e-03
1.056846725172182e+00,1.364643870195573e+00,5.943085879564055e-03
1.060505087755659e+00,1.356791831415572e+00,5.963658364196247e-03
1.064176114064607e+00,1.348984902880438e+00,5.984302062190070e-03
1.067859847935561e+00,1.341222825511819e+00,6.005017220056480e-03
1.071556333356802e+00,1.333505341719225e+00,6.025804085159753e-03
1.075265614468877e+00,1.325832195391476e+00,6.046662905720436e-03
1.078987735565133e+00,1.318203131888210e+00,6.067593930818311e-03
1.082722741092240e+00,1.310617898031436e+00,6.088597410395372e-03
1.086470675650722e+00,1.303076242097134e+00,6.109673595258808e-03
1.090231583995494e+00,1.295577913806909e+00,6.130822737083996e-03
1.094005511036394e+00,1.288122664319684e+00,6.152045088417510e-03
1.097792501838718e+00,1.280710246223449e+00,6.173340902680136e-03
1.101592601623760e+00,1.273340413527056e+00,6.194710434169893e-03
1.105405855769349e+00,1.266012921652054e+00,6.216153938065076e-03
1.109232309810396e+00,1.258727527424581e+00,6.237671670427302e-03
1.113072009439435e+00,1.251483989067293e+00,6.259263888204566e-03
1.116925000507166e+00,1.244282066191349e+00,6.280930849234308e-03
1.120791329023006e+00,1.237121519788435e+00,6.302672812246496e-03
1.124671041155638e+00,1.230002112222836e+00,6.324490036866711e-03
1.128564183233562e+00,1.222923607223550e+00,6.346382783619252e-03
1.132470801745647e+00,1.215885769876458e+00,6.368351313930242e-03
1.136390943341687e+00,1.208888366616525e+00,6.390395890130753e-03
1.140324654832960e+00,1.201931165220057e+00,6.412516775459938e-03
1.144271983192782e+00,1.195013934796994e+00,6.434714234068177e-03
1.148232975557073e+00,1.188136445783255e+00,6.456988531020223e-03
1.152207679224919e+00,1.181298469933120e+00,6.479339932298375e-03
1.156196141659133e+00,1.174499780311663e+00,6.501768704805653e-03
1.160198410486826e+00,1.167740151287216e+00,6.524275116368983e-03
1.164214533499974e+00,1.161019358523897e+00,6.546859435742397e-03
1.168244558655990e+00,1.154337178974158e+00,6.569521932610238e-03
1.172288534078293e+00,1.147693390871391e+00,6.592262877590388e-03
1.176346508056887e+00,1.141087773722571e+00,6.615082542237495e-03
1.180418529048936e+00,1.134520108300942e+00,6.637981199046211e-03
1.184504645679341e+00,1.127990176638746e+00,6.660959121454456e-03
1.188604906741324e+00,1.121497762019991e+00,6.684016583846677e-03
1.192719361197008e+00,1.115042648973263e+00,6.707153861557123e-03
1.196848058178002e+00,1.108624623264581e+00,6.730371230873139e-03
1.200991046985989e+00,1.102243471890285e+00,6.753668969038458e-03
1.205148377093312e+00,1.095898983069979e+00,6.777047354256518e-03
1.209320098143569e+00,1.089590946239497e+00,6.800506665693778e-03
1.213506259952203e+00,1.083319152043924e+00,6.824047183483060e-03
1.217706912507095e+00,1.077083392330650e+00,6.847669188726885e-03
1.221922105969167e+00,1.070883460142467e+00,6.871372963500834e-03
1.226151890672973e+00,1.064719149710700e+00,6.895158790856917e-03
1.230396317127308e+00,1.058590256448386e+00,6.919026954826952e-03
1.234655436015804e+00,1.052496576943484e+00,6.942977740425954e-03
1.238929298197542e+00,1.046437908952131e+00,6.967011433655548e-03
1.243217954707653e+00,1.040414051391931e+00,6.991128321507369e-03
1.247521456757932e+00,1.034424804335284e+00,7.015328691966503e-03
1.251839855737447e+00,1.028469969002759e+00,7.039612834014917e-03
