# modelo=pope_completo_fL_feta
# epsilon=1.0
# C_k=1.5
# beta=5.2
# nu=0.01
# eta=3.162277660168e-02
# Re_nominal=100
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000000000000e+00,1.479472265538643e+00,3.162277660168379e-02
1.003461582929995e+00,1.471114439033693e+00,3.173224146536722e-02
1.006935148416371e+00,1.462802877592904e+00,3.184208525075421e-02
1.010420737937741e+00,1.454537336881429e+00,3.195230926951367e-02
1.013918393116299e+00,1.446317573705465e+00,3.206291483785494e-02
1.017428155718318e+00,1.438143346008844e+00,3.217390327654353e-02
1.020950067654649e+00,1.430014412869626e+00,3.228527591091692e-02
1.024484170981219e+00,1.421930534496665e+00,3.239703407090032e-02
1.028030507899538e+00,1.413891472226163e+00,3.250917909102261e-02
1.031589120757197e+00,1.405896988518203e+00,3.262171231043225e-02
1.035160052048379e+00,1.397946846953276e+00,3.273463507291324e-02
1.038743344414362e+00,1.390040812228775e+00,3.284794872690125e-02
1.042339040644032e+00,1.382178650155499e+00,3.296165462549963e-02
1.045947183674393e+00,1.374360127654120e+00,3.307575412649565e-02
1.049567816591076e+00,1.366585012751648e+00,3.319024859237664e-02
1.053200982628860e+00,1.358853074577884e+00,3.330513939034629e-02
1.056846725172182e+00,1.351164083361855e+00,3.342042789234102e-02
1.060505087755659e+00,1.343517810428235e+00,3.353611547504627e-02
1.064176114064607e+00,1.335914028193765e+00,3.365220351991303e-02
1.067859847935561e+00,1.328352510163646e+00,3.376869341317427e-02
1.071556333356802e+00,1.320833030927937e+00,3.388558654586155e-02
1.075265614468877e+00,1.313355366157930e+00,3.400288431382156e-02
1.078987735565133e+00,1.305919292602520e+00,3.412058811773288e-02
1.082722741092240e+00,1.298524588084566e+00,3.423869936312261e-02
1.086470675650722e+00,1.291171031497244e+00,3.435721946038322e-02
1.090231583995494e+00,1.283858402800381e+00,3.447614982478937e-02
1.094005511036394e+00,1.276586483016794e+00,3.459549187651480e-02
1.097792501838718e+00,1.269355054228614e+00,3.471524704064933e-02
1.101592601623760e+00,1.262163899573603e+00,3.483541674721580e-02
1.105405855769349e+00,1.255012803241461e+00,3.495600243118722e-02
1.109232309810396e+00,1.247901550470134e+00,3.507700553250387e-02
1.113072009439435e+00,1.240829927542099e+00,3.519842749609053e-02
1.116925000507166e+00,1.233797721780669e+00,3.532026977187365e-02
1.120791329023006e+00,1.226804721546264e+00,3.544253381479879e-02
1.124671041155638e+00,1.219850716232694e+00,3.556522108484786e-02
1.128564183233562e+00,1.212935496263432e+00,3.568833304705667e-02
1.132470801745647e+00,1.206058853087881e+00,3.581187117153233e-02
1.136390943341687e+00,1.199220579177634e+00,3.593583693347088e-02
1.140324654832960e+00,1.192420468022740e+00,3.606023181317486e-02
1.144271983192782e+00,1.185658314127950e+00,3.618505729607101e-02
1.148232975557073e+00,1.178933913008979e+00,3.631031487272798e-02
1.152207679224919e+00,1.172247061188743e+00,3.643600603887415e-02
1.156196141659133e+00,1.165597556193608e+00,3.656213229541549e-02
1.160198410486826e+00,1.158985196549639e+00,3.668869514845353e-02
1.164214533499974e+00,1.152409781778828e+00,3.681569610930320e-02
