# modelo=quimera_pao4/3_beta_pope5.2
# epsilon=1.0
# C_k=1.5
# beta=5.2
# nu=0.0005
# eta=3.343701524882e-03
# Re_nominal=2000
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000e+00,1.496105e+00,3.343702e-03
1.003462e+00,1.487495e+00,3.355276e-03
1.006935e+00,1.478935e+00,3.366891e-03
1.010421e+00,1.470424e+00,3.378545e-03
1.013918e+00,1.461962e+00,3.390240e-03
1.017428e+00,1.453548e+00,3.401976e-03
1.020950e+00,1.445183e+00,3.413752e-03
1.024484e+00,1.436866e+00,3.425569e-03
1.028031e+00,1.428597e+00,3.437427e-03
1.031589e+00,1.420375e+00,3.449326e-03
1.035160e+00,1.412200e+00,3.461266e-03
1.038743e+00,1.404073e+00,3.473248e-03
1.042339e+00,1.395992e+00,3.485271e-03
1.045947e+00,1.387957e+00,3.497335e-03
1.049568e+00,1.379969e+00,3.509442e-03
1.053201e+00,1.372027e+00,3.521590e-03
1.056847e+00,1.364130e+00,3.533780e-03
1.060505e+00,1.356278e+00,3.546012e-03
1.064176e+00,1.348472e+00,3.558287e-03
1.067860e+00,1.340711e+00,3.570605e-03
1.071556e+00,1.332994e+00,3.582965e-03
1.075266e+00,1.325321e+00,3.595367e-03
1.078988e+00,1.317693e+00,3.607813e-03
1.082723e+00,1.310108e+00,3.620302e-03
1.086471e+00,1.302567e+00,3.632834e-03
1.090232e+00,1.295069e+00,3.645409e-03
1.094006e+00,1.287615e+00,3.658028e-03
1.097793e+00,1.280203e+00,3.670690e-03
1.101593e+00,1.272833e+00,3.683397e-03
1.105406e+00,1.265507e+00,3.696147e-03
1.109232e+00,1.258222e+00,3.708942e-03
1.113072e+00,1.250979e+00,3.721781e-03
1.116925e+00,1.243777e+00,3.734664e-03
1.120791e+00,1.236618e+00,3.747592e-03
1.124671e+00,1.229499e+00,3.760564e-03
1.128564e+00,1.222421e+00,3.773582e-03
1.132471e+00,1.215384e+00,3.786644e-03
1.136391e+00,1.208387e+00,3.799752e-03
1.140325e+00,1.201430e+00,3.812905e-03
1.144272e+00,1.194513e+00,3.826104e-03
1.148233e+00,1.187637e+00,3.839348e-03
1.152208e+00,1.180799e+00,3.852639e-03
1.156196e+00,1.174001e+00,3.865975e-03
1.160198e+00,1.167242e+00,3.879357e-03
1.164215e+00,1.160522e+00,3.892786e-03
1.168245e+00,1.153840e+00,3.906261e-03
1.172289e+00,1.147197e+00,3.919783e-03
1.176347e+00,1.140592e+00,3.933352e-03
1.180419e+00,1.134025e+00,3.946967e-03
1.184505e+00,1.127495e+00,3.960630e-03
1.188605e+00,1.121004e+00,3.974340e-03
1.192719e+00,1.114549e+00,3.988098e-03
1.196848e+00,1.108132e+00,4.001903e-03
1.200991e+00,1.101751e+00,4.015756e-03
1.205148e+00,1.095407e+00,4.029656e-03
1.209320e+00,1.089100e+00,4.043605e-03
1.213506e+00,1.082828e+00,4.057603e-03
1.217707e+00,1.076593e+00,4.071648e-03
1.221922e+00,1.070394e+00,4.085743e-03
1.226152e+00,1.064230e+00,4.099886e-03
1.230396e+00,1.058102e+00,4.114078e-03
1.234655e+00,1.052009e+00,4.128319e-03
1.238929e+00,1.045951e+00,4.142610e-03
1.243218e+00,1.039927e+00,4.156950e-03
1.247521e+00,1.033939e+00,4.171339e-03
1.251840e+00,1.027984e+00,4.185779e-03
1.256173e+00,1.022064e+00,4.200268e-03
1.260522e+00,1.016178e+00,4.214808e-03
1.264885e+00,1.010326e+00,4.229398e-03
1.269263e+00,1.004508e+00,4.244038e-03
1.273657e+00,9.987224e-01,4.258729e-03
1.278066e+00,9.929705e-01,4.273471e-03
1.282490e+00,9.872516e-01,4.288264e-03
1.286930e+00,9.815656e-01,4.303108e-03
1.291384e+00,9.759123e-01,4.318004e-03
1.295855e+00,9.702914e-01,4.332951e-03
1.300340e+00,9.647029e-01,4.347950e-03
1.304842e+00,9.591465e-01,4.363001e-03
1.309358e+00,9.536220e-01,4.378104e-03
1.313891e+00,9.481292e-01,4.393259e-03
1.318439e+00,9.426680e-01,4.408466e-03
1.323003e+00,9.372382e-01,4.423727e-03
