# modelo=k41_puro
# epsilon=1.0
# C_k=1.5
# beta=0.0
# nu=0.0
# eta=0.000000000000e+00
# Re_nominal=inf
# k_range=[1.000000e+00,1.000000e+02]
# n_points=1000
k,E(k),k_eta
1.000000e+00,1.500000e+00,0.000000e+00
1.004620e+00,1.488520e+00,0.000000e+00
1.009262e+00,1.477127e+00,0.000000e+00
1.013925e+00,1.465822e+00,0.000000e+00
1.018610e+00,1.454603e+00,0.000000e+00
1.023317e+00,1.443470e+00,0.000000e+00
1.028045e+00,1.432423e+00,0.000000e+00
1.032795e+00,1.421460e+00,0.000000e+00
1.037567e+00,1.410581e+00,0.000000e+00
1.042361e+00,1.399785e+00,0.000000e+00
1.047177e+00,1.389071e+00,0.000000e+00
1.052015e+00,1.378440e+00,0.000000e+00
1.056876e+00,1.367890e+00,0.000000e+00
1.061759e+00,1.357421e+00,0.000000e+00
1.066665e+00,1.347032e+00,0.000000e+00
1.071593e+00,1.336722e+00,0.000000e+00
1.076545e+00,1.326492e+00,0.000000e+00
1.081519e+00,1.316339e+00,0.000000e+00
1.086516e+00,1.306265e+00,0.000000e+00
1.091536e+00,1.296267e+00,0.000000e+00
1.096579e+00,1.286346e+00,0.000000e+00
1.101646e+00,1.276501e+00,0.000000e+00
1.106736e+00,1.266731e+00,0.000000e+00
1.111850e+00,1.257036e+00,0.000000e+00
1.116987e+00,1.247416e+00,0.000000e+00
1.122148e+00,1.237868e+00,0.000000e+00
1.127333e+00,1.228394e+00,0.000000e+00
1.132541e+00,1.218993e+00,0.000000e+00
1.137774e+00,1.209663e+00,0.000000e+00
1.143031e+00,1.200405e+00,0.000000e+00
1.148312e+00,1.191218e+00,0.000000e+00
1.153618e+00,1.182101e+00,0.000000e+00
1.158948e+00,1.173053e+00,0.000000e+00
1.164303e+00,1.164076e+00,0.000000e+00
1.169683e+00,1.155166e+00,0.000000e+00
1.175087e+00,1.146325e+00,0.000000e+00
1.180517e+00,1.137552e+00,0.000000e+00
1.185971e+00,1.128845e+00,0.000000e+00
1.191451e+00,1.120206e+00,0.000000e+00
1.196956e+00,1.111632e+00,0.000000e+00
1.202486e+00,1.103124e+00,0.000000e+00
1.208042e+00,1.094682e+00,0.000000e+00
1.213624e+00,1.086303e+00,0.000000e+00
1.219231e+00,1.077989e+00,0.000000e+00
1.224865e+00,1.069739e+00,0.000000e+00
1.230524e+00,1.061552e+00,0.000000e+00
1.236210e+00,1.053427e+00,0.000000e+00
1.241921e+00,1.045365e+00,0.000000e+00
1.247660e+00,1.037364e+00,0.000000e+00
1.253424e+00,1.029424e+00,0.000000e+00
1.259216e+00,1.021546e+00,0.000000e+00
1.265034e+00,1.013727e+00,0.000000e+00
1.270879e+00,1.005969e+00,0.000000e+00
1.276751e+00,9.982694e-01,0.000000e+00
1.282650e+00,9.906291e-01,0.000000e+00
1.288576e+00,9.830473e-01,0.000000e+00
1.294530e+00,9.755235e-01,0.000000e+00
1.300511e+00,9.680573e-01,0.000000e+00
1.306520e+00,9.606483e-01,0.000000e+00
1.312557e+00,9.532959e-01,0.000000e+00
1.318621e+00,9.459998e-01,0.000000e+00
1.324714e+00,9.387596e-01,0.000000e+00
1.330835e+00,9.315748e-01,0.000000e+00
1.336984e+00,9.244449e-01,0.000000e+00
1.343161e+00,9.173697e-01,0.000000e+00
1.349367e+00,9.103486e-01,0.000000e+00
1.355602e+00,9.033812e-01,0.000000e+00
1.361865e+00,8.964671e-01,0.000000e+00
1.368158e+00,8.896060e-01,0.000000e+00
1.374479e+00,8.827974e-01,0.000000e+00
1.380830e+00,8.760409e-01,0.000000e+00
1.387210e+00,8.693360e-01,0.000000e+00
1.393619e+00,8.626826e-01,0.000000e+00
1.400058e+00,8.560800e-01,0.000000e+00
1.406527e+00,8.495280e-01,0.000000e+00
1.413026e+00,8.430261e-01,0.000000e+00
1.419555e+00,8.365740e-01,0.000000e+00
