k,E(k)
1.000000e+00,1.423993e+00
1.258925e+00,9.483027e-01
1.584893e+00,5.768248e-01
1.995262e+00,3.458454e-01
2.511886e+00,2.027000e-01
3.162278e+00,1.146000e-01
3.981072e+00,6.320000e-02
5.011872e+00,3.490000e-02
6.309573e+00,1.920000e-02
7.943282e+00,1.050000e-02
1.000000e+01,5.580000e-03
1.258925e+01,2.960000e-03
1.584893e+01,1.560000e-03
1.995262e+01,8.210000e-04
2.511886e+01,4.280000e-04
3.162278e+01,2.230000e-04
3.981072e+01,1.150000e-04
5.011872e+01,5.800000e-05
6.309573e+01,2.900000e-05
7.943282e+01,1.400000e-05
1.000000e+02,6.500000e-06
